Date,Bitcoin,Gold,SP500,Bitcoin_Norm,Gold_Norm,SP500_Norm,Bitcoin_Ret,Gold_Ret,SP500_Ret
2024-06-19,64960.296875,2330.39990234375,5487.02978515625,17110.39480561154,186.74572135199398,299.98851427970015,-0.0027701435671353414,0.0,0.0
2024-06-20,64828.65625,2353.800048828125,5473.169921875,17075.720963671723,188.62088330620278,299.2307637376656,-0.00202647819256907,0.010041257923518065,-0.0025259318472709014
2024-06-21,64096.19921875,2316.39990234375,5464.6201171875,16882.793443544317,185.6238366075351,298.76332628862474,-0.011298352821403679,-0.015889262345370136,-0.001562130321101196
2024-06-22,64252.578125,2316.39990234375,5464.6201171875,16923.983292635618,185.6238366075351,298.76332628862474,0.0024397531859308152,0.0,0.0
2024-06-23,63180.796875,2316.39990234375,5464.6201171875,16641.67854319705,185.6238366075351,298.76332628862474,-0.01668075089399379,0.0,0.0
2024-06-24,60277.4140625,2330.0,5447.8701171875,15876.934097997007,186.71367532779922,297.8475653376311,-0.04595356431233677,0.005871221822488115,-0.003065171894990004
2024-06-25,61804.640625,2316.60009765625,5469.2998046875,16279.202109368254,185.6398791837498,299.01917554685474,0.025336630415439876,-0.005751031048819688,0.003933590015736899
2024-06-26,60811.27734375,2299.199951171875,5477.89990234375,16017.55247497247,184.2455249771662,299.4893626279488,-0.016072632592061153,-0.007511070426863498,0.0015724312002203256
2024-06-27,61604.80078125,2324.5,5482.8701171875,16226.56474794988,186.2729348924761,299.7610956829909,0.013048951973404943,0.011003848888927692,0.0009073212238914774
2024-06-28,60320.13671875,2327.699951171875,5460.47998046875,15888.187148717952,186.5293617783861,298.53697551018854,-0.020853310881755127,0.0013766191318025367,-0.004083652583445674
2024-06-29,60887.37890625,2327.699951171875,5460.47998046875,16037.597453864802,186.5293617783861,298.53697551018854,0.009403861104374522,0.0,0.0
2024-06-30,62678.29296875,2327.699951171875,5460.47998046875,16509.320154443925,186.5293617783861,298.53697551018854,0.029413551620566913,0.0,0.0
2024-07-01,62851.98046875,2327.60009765625,5475.08984375,16555.06904785675,186.52136005439607,299.3357302739094,0.002771094932125795,-4.289793260281449e-05,0.0026755639309195
2024-07-02,62029.015625,2323.0,5509.009765625,16338.301975273987,186.1527329555698,301.1902102687678,-0.013093697885290578,-0.0019763264578318562,0.006195317856513505
2024-07-03,60173.921875,2359.800048828125,5537.02001953125,15849.674490627467,189.10169105382803,302.72159514964903,-0.02990687070088416,0.015841605177841167,0.005084444409779065
2024-07-04,56977.703125,2359.800048828125,5537.02001953125,15007.797723918213,189.10169105382803,302.72159514964903,-0.05311634426354228,0.0,0.0
2024-07-05,56662.375,2388.5,5567.18994140625,14924.741011255008,191.40155086714526,304.3710540360761,-0.005534237213954074,0.012162026687865923,0.005448765178485582
2024-07-06,58303.5390625,2388.5,5567.18994140625,15357.01990160847,191.40155086714526,304.3710540360761,0.02896391234041995,0.0,0.0
2024-07-07,55849.109375,2388.5,5567.18994140625,14710.528690884015,191.40155086714526,304.3710540360761,-0.042097439142912196,0.0,0.0
2024-07-08,56705.09765625,2355.199951171875,5572.85009765625,14935.994061975953,188.73306395500177,304.68050777161477,0.015326802715911692,-0.013941824922807156,0.0010166989647510949
2024-07-09,58009.2265625,2360.10009765625,5576.97998046875,15279.498656886994,189.12573535403277,304.9062979454576,0.02299844211812685,0.002080564956676856,0.0007410719362856977
